
2025-10-16|08:43:10.874312500|milkshake|in-n-out|3.75
2025-10-16|08:43:32.891051900|burger|in-n-out|-3.0
2025-10-16|09:21:52.148977200|lol|lol|3.4
2025-10-16|09:49:26.147525800|hi|hi|4.6
2025-10-16|12:19:18.331698700|hello|hello|3.0
2025-10-16|12:49:20.184357600|d|df|4.0
2025-10-16|12:49:30.350834300|hey|you|3.0
2025-10-16|12:49:47.638327100|hey|you|-5.0
2025-10-16|13:37:13.918874900|food|amazon|5.0
2025-10-16|14:04:08.467336|clothes|uniqlo|25.0
2025-10-16|14:04:38.571254800|sdf|sdf|-3.0
2024-10-16|14:54:02.290960200|df|df|23.0
